"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_01788","Both","SAMN36656629","OQ554169","Clade A","M",NA,"SLE","Grand_Metis",48.655252,-68.072588,2017,8,1,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,20999,19543,0.22552,662972,640550.3,0.11859
"S_20_01794","ddRADseq","SAMN36656632",NA,NA,"M",0,"SLE","Riviere_Ouelle",47.485684,-70.023444,2018,7,30,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19500,17722.5,0.31727,NA,NA,NA
"S_20_01797","Both","SAMN36656633","OQ554170","Clade A","F",45,"SLE","Baie_Sainte_Catherine",48.161905,-69.877651,2018,7,29,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,20859,19398.8,0.22825,667984,643804.4,0.12726
"S_20_03476_rep","ddRADseq","SAMN36656862",NA,NA,"F",44,"SLE","Rimouski_est",48.78527778,-68.54277778,2011,5,19,"HBSC",NA,0.034928,0.547966,0.274331,0.035385,0.10739,NA,NA,NA,NA,NA,NA,0.545567,0.177725,0.276709,NA,NA,NA,NA,NA,NA,19190,19293.2,-0.01625,NA,NA,NA
"S_20_03478","ddRADseq","SAMN36656863",NA,NA,"F",40,"SLE","Sainte_Flavie",48.72388889,-68.01972222,2010,7,31,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21311,19437.1,0.29207,NA,NA,NA
"S_20_03480","Both","SAMN36656864","OQ554220","Clade A","F",31,"SLE","Sainte_Flavie",48.60638889,-68.24111111,2010,8,29,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,19326,17681.7,0.29081,646814,608013.3,0.21516
"S_20_03481","ddRADseq","SAMN36656865",NA,NA,"F",NA,"SLE","Tadoussac",48.1414,-69.7091,2000,7,26,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20245,18425,0.30425,NA,NA,NA
"S_20_03482","ddRADseq","SAMN36656866",NA,NA,"F",9,"SLE","Tadoussac",48.1414,-69.7091,2000,7,26,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21141,19536.9,0.24854,NA,NA,NA
"S_20_03531","lcWGS","SAMN36656890","OQ554232","Clade A",NA,30,"SLE","Matane",48.87732,-67.41554,2019,10,17,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662687,629153.6,0.1801
"S_20_03532","lcWGS","SAMN36656891","OQ554233","Clade A","F",28,"SLE","Cacouna",47.9133,-69.5073,2019,11,9,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663867,639111.7,0.13116
"S_20_03535","lcWGS","SAMN36656892","OQ554234","Clade A","F",51,"SLE","Rimouski",48.42944444,-68.59611111,2010,6,10,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634156,596518.2,0.21271
"S_20_03537","lcWGS","SAMN36656893","OQ554235","Clade A","F",5,"SLE","Baie_des_Sables",48.722212,-67.89651,2019,4,8,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000011,0.000011,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661207,644912.5,0.08563
"S_20_03538","lcWGS","SAMN36656894","OQ554236","Clade D","M",2,"SLE","Rimouski",48.422994,-68.607249,2019,5,13,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999947,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663390,646283.4,0.08974
"S_20_03539","lcWGS","SAMN36656895","OQ554237","Clade A","M",52,"SLE","Saint_Ulric",48.785139,-67.700917,2019,6,19,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647589,615875.9,0.17403
