"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_03633","ddRADseq","SAMN36656933",NA,NA,"M",15,"NHS","Lake_Harbour_Kimmirut",NA,NA,1992,10,11,"HBSC",NA,0.010249,0.623338,0.243441,0.033024,0.089948,NA,NA,NA,NA,NA,NA,0.747141,0.076361,0.176498,NA,NA,NA,NA,NA,NA,19374,19526.2,-0.0236,NA,NA,NA
"S_20_03634","ddRADseq","SAMN36656934",NA,NA,"M",21,"NHS","Lake_Harbour_Kimmirut",62.845712,-69.864133,1992,10,11,"HBSC",NA,0.023843,0.749733,0.080858,0.060725,0.084841,NA,NA,NA,NA,NA,NA,0.782939,0.10505,0.112011,NA,NA,NA,NA,NA,NA,15821,18840.2,-0.49158,NA,NA,NA
"S_20_03636","ddRADseq","SAMN36656935",NA,NA,"F",NA,"NHS","Kimmirut",NA,NA,1991,10,17,"HBSC",NA,0.026487,0.668803,0.266573,0.00001,0.038127,NA,NA,NA,NA,NA,NA,0.769787,0.090002,0.140211,NA,NA,NA,NA,NA,NA,19271,19538.8,-0.04148,NA,NA,NA
"S_20_00635","ddRADseq","SAMN36656148",NA,NA,"F",12,"SHS","Kangiqsujuaq",61.5617,-71.6525,2004,7,22,"HBSC",NA,0.037361,0.473258,0.343941,0.058447,0.086993,NA,NA,NA,NA,NA,NA,0.580025,0.118679,0.301296,NA,NA,NA,NA,NA,NA,19086,18754.6,0.05423,NA,NA,NA
"S_20_00636","ddRADseq","SAMN36656149",NA,NA,"M",24,"SHS","Falaise_Innijuaq",62.425,-75.4194,2004,7,2,"HBSC",NA,0.060321,0.52392,0.314291,0.040365,0.061104,NA,NA,NA,NA,NA,NA,0.645982,0.117133,0.236885,NA,NA,NA,NA,NA,NA,18739,18384.8,0.05965,NA,NA,NA
"S_20_00638","ddRADseq","SAMN36656150",NA,NA,"F",22,"SHS","Falaise_Innijuaq",62.425,-75.4194,2004,7,1,"HBSC",NA,0.042128,0.397176,0.464571,0.05321,0.042915,NA,NA,NA,NA,NA,NA,0.686195,0.076096,0.237709,NA,NA,NA,NA,NA,NA,18270,17760.2,0.09035,NA,NA,NA
"S_20_00639","ddRADseq","SAMN36656151",NA,NA,"M",15,"SHS","Baie_Nanuttuvik",62.286,-75.142,2004,6,30,"HBSC",NA,0.03327,0.59728,0.289569,0.039615,0.040265,NA,NA,NA,NA,NA,NA,0.612507,0.100966,0.286527,NA,NA,NA,NA,NA,NA,19371,19423.3,-0.00815,NA,NA,NA
"S_20_00640","ddRADseq","SAMN36656152",NA,NA,"M",18,"SHS","Salluit_Fjord",62.292,-75.483,2004,6,30,"HBSC",NA,0.010972,0.625543,0.274148,0.029757,0.059579,NA,NA,NA,NA,NA,NA,0.657697,0.038845,0.303458,NA,NA,NA,NA,NA,NA,19117,19126.2,-0.00146,NA,NA,NA
"S_20_00814","ddRADseq","SAMN36656279",NA,NA,"F",17,"SHS","Quaqtaq",60.99463,-69.73007,2001,10,25,"HBSC",NA,0.009981,0.450593,0.366991,0.136168,0.036268,NA,NA,NA,NA,NA,NA,0.248369,0.106472,0.64516,NA,NA,NA,NA,NA,NA,19169,19349.4,-0.02827,NA,NA,NA
"S_20_00816","ddRADseq","SAMN36656280",NA,NA,"M",NA,"SHS","Quaqtaq",60.99189,-69.70539,2001,10,27,"HBSC",NA,0.017227,0.599379,0.294752,0.046311,0.042331,NA,NA,NA,NA,NA,NA,0.503665,0.057375,0.438961,NA,NA,NA,NA,NA,NA,19304,19503.9,-0.03104,NA,NA,NA
"S_20_00817","ddRADseq","SAMN36656281",NA,NA,"F",13,"SHS","Quaqtaq",61.00717,-69.69559,2001,10,26,"HBSC",NA,0.028759,0.736672,0.028491,0.050402,0.155676,NA,NA,NA,NA,NA,NA,0.00001,0.99998,0.00001,NA,NA,NA,NA,NA,NA,18722,19096.1,-0.05968,NA,NA,NA
"S_20_00818","ddRADseq","SAMN36656282",NA,NA,"M",48,"SHS","Quaqtaq",60.98209,-69.71753,2001,10,26,"HBSC",NA,0.023251,0.510719,0.376578,0.056539,0.032912,NA,NA,NA,NA,NA,NA,0.685691,0.062368,0.251942,NA,NA,NA,NA,NA,NA,18754,18742.8,0.00184,NA,NA,NA
"S_20_00820","ddRADseq","SAMN36656283",NA,NA,"M",8,"SHS","Quaqtaq",60.96877,-69.70186,2001,11,2,"HBSC",NA,0.019144,0.511135,0.321037,0.065076,0.083608,NA,NA,NA,NA,NA,NA,0.681902,0.114257,0.203841,NA,NA,NA,NA,NA,NA,18945,18975.7,-0.00492,NA,NA,NA
"S_20_00822","ddRADseq","SAMN36656284",NA,NA,"M",11,"SHS","Quaqtaq",60.99894,-69.70852,2001,11,2,"LGR",NA,0.01759,0.112122,0.078257,0.026207,0.765823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19448,19398.2,0.00779,NA,NA,NA
"S_20_00865","ddRADseq","SAMN36656305",NA,NA,"F",31,"SHS","Baie_Kuuttaap_Kangirsunga",61.22,-71.6,2001,7,14,"HBSC",NA,0.010638,0.457983,0.324774,0.060564,0.146041,NA,NA,NA,NA,NA,NA,0.751912,0.146173,0.101914,NA,NA,NA,NA,NA,NA,19456,19508.4,-0.00813,NA,NA,NA
"S_20_00866","ddRADseq","SAMN36656306",NA,NA,"M",NA,"SHS","Salluit_Fjord",62.25682,-75.5658,2001,6,26,"HBSC",NA,0.028608,0.582762,0.267005,0.018468,0.103157,NA,NA,NA,NA,NA,NA,0.51878,0.164339,0.316881,NA,NA,NA,NA,NA,NA,19429,19431.4,-0.00038,NA,NA,NA
"S_20_00867","ddRADseq","SAMN36656307",NA,NA,"M",25,"SHS","Cap_Uqammaq",61.7525,-72.0512,2001,6,25,"HBSC",NA,0.019912,0.613846,0.242352,0.060704,0.063185,NA,NA,NA,NA,NA,NA,0.495322,0.28199,0.222688,NA,NA,NA,NA,NA,NA,19158,18829.1,0.05365,NA,NA,NA
"S_20_00868","ddRADseq","SAMN36656308",NA,NA,"F",17,"SHS","Kangiqsujuaq",61.74612,-72.04448,2001,7,30,"HBSC",NA,0.010224,0.616654,0.2756,0.043314,0.054208,NA,NA,NA,NA,NA,NA,0.676319,0.130506,0.193175,NA,NA,NA,NA,NA,NA,18894,19284.9,-0.06161,NA,NA,NA
"S_20_00870","ddRADseq","SAMN36656309",NA,NA,"M",6,"SHS","Kangiqsujuaq",61.74165,-72.03639,2001,6,25,"HBSC",NA,0.019213,0.626795,0.254631,0.049641,0.049721,NA,NA,NA,NA,NA,NA,0.505974,0.115617,0.378409,NA,NA,NA,NA,NA,NA,19193,19175.1,0.00284,NA,NA,NA
"S_20_00871","ddRADseq","SAMN36656310",NA,NA,"F",14,"SHS","Kangiqsujuaq",61.5415,-71.80456,2001,7,16,"HBSC",NA,0.041066,0.535002,0.294659,0.041231,0.088042,NA,NA,NA,NA,NA,NA,0.71249,0.170771,0.116739,NA,NA,NA,NA,NA,NA,19262,19433.3,-0.02673,NA,NA,NA
"S_20_00872","ddRADseq","SAMN36656311",NA,NA,"F",19,"SHS","Digges_Islands",62.56631,-77.84657,2001,10,20,"LGR",NA,0.003339,0.133863,0.099332,0.025695,0.73777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19189,19304.5,-0.01817,NA,NA,NA
"S_20_00878","ddRADseq","SAMN36656312",NA,NA,"M",32,"SHS","Digges_Islands",62.60298,-77.82984,2001,10,23,"HBSC",NA,0.027116,0.611923,0.261376,0.046432,0.053152,NA,NA,NA,NA,NA,NA,0.728094,0.184938,0.086967,NA,NA,NA,NA,NA,NA,18901,18755,0.02376,NA,NA,NA
"S_20_00881","ddRADseq","SAMN36656313",NA,NA,"F",NA,"SHS","Digges_Islands",62.60372,-77.83412,2001,10,26,"HBSC",NA,0.008755,0.548246,0.35629,0.06843,0.018279,NA,NA,NA,NA,NA,NA,0.308483,0.107215,0.584302,NA,NA,NA,NA,NA,NA,19237,19215.7,0.00337,NA,NA,NA
"S_20_00884","ddRADseq","SAMN36656314",NA,NA,"M",15,"SHS","Nuvuk_Islands",62.4003,-78.05059,2001,10,8,"HBSC",NA,0.01078,0.558491,0.302756,0.099646,0.028327,NA,NA,NA,NA,NA,NA,0.350126,0.114788,0.535086,NA,NA,NA,NA,NA,NA,19099,19170.7,-0.01137,NA,NA,NA
"S_20_00885","ddRADseq","SAMN36656315",NA,NA,NA,17,"SHS","Kangiqsujuaq",61.731,-72.053,2004,7,12,"HBSC",NA,0.046372,0.374872,0.498251,0.026707,0.053798,NA,NA,NA,NA,NA,NA,0.606349,0.067764,0.325886,NA,NA,NA,NA,NA,NA,18189,17723.4,0.08238,NA,NA,NA
"S_20_00890","ddRADseq","SAMN36656316",NA,NA,"M",25,"SHS","Baie_Qarliik",62.461,-76.606,2004,7,2,"HBSC",NA,0.016281,0.520765,0.310658,0.050765,0.101531,NA,NA,NA,NA,NA,NA,0.723546,0.106887,0.169567,NA,NA,NA,NA,NA,NA,19221,19187.8,0.00528,NA,NA,NA
"S_20_00891","ddRADseq","SAMN36656317",NA,NA,NA,24,"SHS","Salluit",62.425,-75.4194,2004,6,29,"HBSC",NA,0.017908,0.606656,0.291787,0.030996,0.052653,NA,NA,NA,NA,NA,NA,0.84746,0.00001,0.15253,NA,NA,NA,NA,NA,NA,19453,19545.7,-0.01436,NA,NA,NA
"S_20_00892","ddRADseq","SAMN36656318",NA,NA,"M",NA,"SHS","Baie_Nanuttuvik",62.086,-75.142,2004,7,30,"HBSC",NA,0.015998,0.58312,0.283433,0.014448,0.103002,NA,NA,NA,NA,NA,NA,0.707508,0.064878,0.227614,NA,NA,NA,NA,NA,NA,19323,19520,-0.03055,NA,NA,NA
"S_20_00894","ddRADseq","SAMN36656319",NA,NA,"F",19,"SHS","Ivujivik",62.0917,-78.0139,2004,10,12,"HBSC",NA,0.030148,0.425494,0.429892,0.085853,0.028613,NA,NA,NA,NA,NA,NA,0.329955,0.059933,0.610112,NA,NA,NA,NA,NA,NA,18941,18465.6,0.079,NA,NA,NA
"S_20_00895","ddRADseq","SAMN36656320",NA,NA,"M",20,"SHS","Ivujivik",62.0917,-78.0139,2004,10,19,"HBSC",NA,0.026237,0.531821,0.349619,0.088182,0.004141,NA,NA,NA,NA,NA,NA,0.266088,0.089594,0.644317,NA,NA,NA,NA,NA,NA,19266,19481.7,-0.03352,NA,NA,NA
"S_20_00897","ddRADseq","SAMN36656321",NA,NA,"F",42,"SHS","Baie_Nanuttuvik",62.286,-75.142,2004,7,1,"HBSC",NA,0.04305,0.471283,0.358239,0.032057,0.095372,NA,NA,NA,NA,NA,NA,0.773562,0.141911,0.084527,NA,NA,NA,NA,NA,NA,19371,19135.2,0.03742,NA,NA,NA
"S_20_00898","ddRADseq","SAMN36656322",NA,NA,"M",23,"SHS","Salluit",62.205,-75.747,2004,7,1,"HBSC",NA,0.002977,0.441623,0.413424,0.052201,0.089775,NA,NA,NA,NA,NA,NA,0.767891,0.098103,0.134006,NA,NA,NA,NA,NA,NA,18352,18413,-0.01025,NA,NA,NA
"S_20_00899","ddRADseq","SAMN36656323",NA,NA,"F",NA,"SHS","Falaise_Naujaat_Akulliq",NA,NA,2004,7,1,"HBSC",NA,0.045746,0.474685,0.270524,0.052592,0.156453,NA,NA,NA,NA,NA,NA,0.735278,0.109284,0.155438,NA,NA,NA,NA,NA,NA,19513,19512.9,0.00002,NA,NA,NA
"S_20_00905","Both","SAMN36656327","OQ554011","Clade D","M",NA,"SHS","Falaise_Innijuaq",62.425,-75.41944444,2003,6,28,"HBSC","HBSC",0.041156,0.648094,0.22425,0.030413,0.056086,0.58266,0.039246,0.012054,0.079514,0.263419,0.023108,0.499666,0.085317,0.415017,0.698914,0.301086,NA,NA,NA,NA,19464,19523.5,-0.00923,615550,591708.9,0.13544
"S_20_00907","ddRADseq","SAMN36656328",NA,NA,"F",25,"SHS","Pointe_Akulivik",61.53888889,-71.80861111,2003,6,26,"HBSC",NA,0.018403,0.516241,0.309861,0.034203,0.121292,NA,NA,NA,NA,NA,NA,0.72983,0.104266,0.165905,NA,NA,NA,NA,NA,NA,19130,19185.3,-0.00877,NA,NA,NA
"S_20_00908","ddRADseq","SAMN36656329",NA,NA,"M",25,"SHS","Pointe_Akulivik",61.53888889,-71.80861111,2003,6,27,"HBSC",NA,0.026377,0.619182,0.222747,0.065113,0.066582,NA,NA,NA,NA,NA,NA,0.617551,0.193279,0.18917,NA,NA,NA,NA,NA,NA,19275,19479.7,-0.03184,NA,NA,NA
"S_20_00912","ddRADseq","SAMN36656330",NA,NA,"M",21,"SHS","Kangiqsujuaq",61.731,-72.053,2003,6,15,"HBSC",NA,0.016222,0.571541,0.268779,0.04906,0.094398,NA,NA,NA,NA,NA,NA,0.589978,0.073369,0.336653,NA,NA,NA,NA,NA,NA,19502,19539.4,-0.0058,NA,NA,NA
"S_20_00913","ddRADseq","SAMN36656331",NA,NA,"M",11,"SHS","Kangiqsujuaq",61.731,-72.053,2003,7,10,"HBSC",NA,0.042459,0.62603,0.278702,0.038076,0.014733,NA,NA,NA,NA,NA,NA,0.809663,0.097341,0.092996,NA,NA,NA,NA,NA,NA,19370,19530.8,-0.02493,NA,NA,NA
"S_20_00914","ddRADseq","SAMN36656332",NA,NA,"M",16,"SHS","Kangiqsujuaq",61.65166667,-71.9675,2003,6,22,"HBSC",NA,0.041027,0.617304,0.232081,0.03621,0.073379,NA,NA,NA,NA,NA,NA,0.663412,0.141049,0.195539,NA,NA,NA,NA,NA,NA,19363,19530.4,-0.02596,NA,NA,NA
"S_20_00915","ddRADseq","SAMN36656333",NA,NA,"M",14,"SHS","Camp_Imilimmiut",60.771,-69.418,2003,6,16,"HBSC",NA,0.049704,0.533933,0.396824,0.010835,0.008705,NA,NA,NA,NA,NA,NA,0.513689,0.068204,0.418107,NA,NA,NA,NA,NA,NA,18094,17561.3,0.095,NA,NA,NA
"S_20_00920","ddRADseq","SAMN36656337",NA,NA,"F",NA,"SHS","Camp_Imilimmiut",60.771,-69.418,2003,6,16,"HBSC",NA,0.048696,0.632833,0.239159,0.034577,0.044736,NA,NA,NA,NA,NA,NA,0.586809,0.11941,0.293781,NA,NA,NA,NA,NA,NA,18908,19163.9,-0.04063,NA,NA,NA
"S_20_00960","ddRADseq","SAMN36656356",NA,NA,"F",30,"SHS","Quaqtaq",60.97,-69.71,2004,11,1,"LGR",NA,0.026945,0.132464,0.092794,0.00001,0.747786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19313,19310.1,0.00045,NA,NA,NA
"S_20_00961","ddRADseq","SAMN36656357",NA,NA,"M",30,"SHS","Quaqtaq",60.97,-69.71,2004,10,28,"HBSC",NA,0.027717,0.510799,0.298867,0.064881,0.097736,NA,NA,NA,NA,NA,NA,0.555591,0.114169,0.33024,NA,NA,NA,NA,NA,NA,19163,19101.7,0.0098,NA,NA,NA
"S_20_00962","ddRADseq","SAMN36656358",NA,NA,"M",29,"SHS","Baie_Qarliik",62.461,-76.606,2004,6,5,"HBSC",NA,0.00001,0.569423,0.320943,0.00001,0.109613,NA,NA,NA,NA,NA,NA,0.729253,0.142682,0.128066,NA,NA,NA,NA,NA,NA,19360,19525.5,-0.02565,NA,NA,NA
"S_20_00964","ddRADseq","SAMN36656359",NA,NA,"M",NA,"SHS","Kangiqsujuaq",61.872222,-72.065556,2004,6,25,"HBSC",NA,0.037855,0.56107,0.329683,0.011139,0.060253,NA,NA,NA,NA,NA,NA,0.896788,0.00001,0.103202,NA,NA,NA,NA,NA,NA,18878,18747.6,0.02136,NA,NA,NA
"S_20_00965","ddRADseq","SAMN36656360",NA,NA,"M",NA,"SHS","Kangiqsujuaq",NA,NA,2004,6,24,"HBSC",NA,0.042606,0.544514,0.285021,0.023275,0.104584,NA,NA,NA,NA,NA,NA,0.635649,0.172453,0.191898,NA,NA,NA,NA,NA,NA,18640,18745.8,-0.0173,NA,NA,NA
"S_20_00966","ddRADseq","SAMN36656361",NA,NA,"F",23,"SHS","Kangiqsujuaq",61.5617,-71.6525,2004,7,15,"HBSC",NA,0.045145,0.419861,0.402411,0.012782,0.119802,NA,NA,NA,NA,NA,NA,0.619711,0.140919,0.23937,NA,NA,NA,NA,NA,NA,17809,17600.5,0.0373,NA,NA,NA
"S_20_00967","ddRADseq","SAMN36656362",NA,NA,"M",28,"SHS","Kangiqsujuaq",61.867,-72.183,2004,7,16,"HBSC",NA,0.045626,0.421255,0.357524,0.067459,0.108136,NA,NA,NA,NA,NA,NA,0.616435,0.071688,0.311877,NA,NA,NA,NA,NA,NA,18373,18223.4,0.02537,NA,NA,NA
"S_20_00968","ddRADseq","SAMN36656363",NA,NA,"M",14,"SHS","Ivujivik",62.418,-77.911,2004,10,6,"HBSC",NA,0.064524,0.424941,0.438836,0.056796,0.014903,NA,NA,NA,NA,NA,NA,0.24919,0.009367,0.741443,NA,NA,NA,NA,NA,NA,17998,17508.3,0.08844,NA,NA,NA
"S_20_00969","ddRADseq","SAMN36656364",NA,NA,"M",NA,"SHS","Ivujivik",62.418,-77.911,2004,10,20,"HBSC",NA,0.031359,0.401644,0.429118,0.083538,0.054341,NA,NA,NA,NA,NA,NA,0.395584,0.039948,0.564468,NA,NA,NA,NA,NA,NA,18748,18316.8,0.07304,NA,NA,NA
"S_20_00974","ddRADseq","SAMN36656365",NA,NA,"M",NA,"SHS","Quaqtaq",60.97,-69.71,2004,10,28,"HBSC",NA,0.041996,0.579575,0.28406,0.048071,0.046298,NA,NA,NA,NA,NA,NA,0.372428,0.160941,0.466631,NA,NA,NA,NA,NA,NA,17992,18139.1,-0.02513,NA,NA,NA
"S_20_00975","ddRADseq","SAMN36656366",NA,NA,"F",9,"SHS","Quaqtaq",60.97,-69.71,2004,10,22,"HBSC",NA,0.016434,0.055816,0.209668,0.018595,0.699486,NA,NA,NA,NA,NA,NA,0.503521,0.134817,0.361662,NA,NA,NA,NA,NA,NA,18445,17846.3,0.10507,NA,NA,NA
"S_20_00976","ddRADseq","SAMN36656367",NA,NA,"M",17,"SHS","Pointe_Naujaat",61.0194,-69.4622,2004,6,15,"HBSC",NA,0.042468,0.561796,0.337591,0.024484,0.033661,NA,NA,NA,NA,NA,NA,0.609125,0.124211,0.266664,NA,NA,NA,NA,NA,NA,18502,18110.1,0.06731,NA,NA,NA
"S_20_00977","ddRADseq","SAMN36656368",NA,NA,"M",43,"SHS","Pointe_Naujaat",61.0194,-69.4622,2004,6,15,"HBSC",NA,0.000775,0.626216,0.309705,0.022626,0.040678,NA,NA,NA,NA,NA,NA,0.734629,0.086397,0.178974,NA,NA,NA,NA,NA,NA,19380,19518.8,-0.02153,NA,NA,NA
"S_20_00978","ddRADseq","SAMN36656369",NA,NA,"F",NA,"SHS","Quaqtaq",60.97,-69.71,2004,10,13,"LGR",NA,0.01312,0.00001,0.148578,0.00001,0.838282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19053,18909.5,0.02322,NA,NA,NA
"S_20_00982","ddRADseq","SAMN36656370",NA,NA,"F",NA,"SHS","Kangiqsujuaq",61.867,-72.183,2003,6,18,"HBSC",NA,0.036477,0.507427,0.295052,0.0286,0.132444,NA,NA,NA,NA,NA,NA,0.617588,0.119144,0.263268,NA,NA,NA,NA,NA,NA,18932,18977.1,-0.00724,NA,NA,NA
"S_20_00983","ddRADseq","SAMN36656371",NA,NA,"M",26,"SHS","Kangiqsujuaq",61.65166667,-71.9675,2003,6,29,"HBSC",NA,0.043038,0.493249,0.302723,0.091155,0.069836,NA,NA,NA,NA,NA,NA,0.258934,0.078155,0.662911,NA,NA,NA,NA,NA,NA,19166,19077.3,0.01415,NA,NA,NA
"S_20_00987","ddRADseq","SAMN36656372",NA,NA,"M",20,"SHS","Ivujivik",62.418,-77.911,2004,7,2,"HBSC",NA,0.053894,0.535654,0.350246,0.027571,0.032634,NA,NA,NA,NA,NA,NA,0.624985,0.083837,0.291178,NA,NA,NA,NA,NA,NA,18926,18520.4,0.06752,NA,NA,NA
"S_20_00988","ddRADseq","SAMN36656373",NA,NA,"F",17,"SHS","Ivujivik",62.418,-77.911,2004,7,7,"HBSC",NA,0.046409,0.491192,0.294688,0.024326,0.143384,NA,NA,NA,NA,NA,NA,0.7708,0.125237,0.103963,NA,NA,NA,NA,NA,NA,18535,18446.4,0.01478,NA,NA,NA
"S_20_00989","ddRADseq","SAMN36656374",NA,NA,"M",9,"SHS","Quaqtaq",60.97,-69.71,2004,10,18,"LGR",NA,0.010515,0.12316,0.117293,0.031036,0.717997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18702,18886.5,-0.02983,NA,NA,NA
"S_20_00990","ddRADseq","SAMN36656375",NA,NA,"F",48,"SHS","Quaqtaq",60.97,-69.71,2004,10,18,"LGR",NA,0.001587,0.00001,0.00001,0.006048,0.992345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19324,19538.2,-0.0332,NA,NA,NA
"S_20_00991","ddRADseq","SAMN36656376",NA,NA,NA,NA,"SHS","Quaqtaq",60.97,-69.71,2004,10,18,"LGR",NA,0.029298,0.00001,0.066147,0.00001,0.904535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19226,18590.9,0.10459,NA,NA,NA
"S_20_00992","ddRADseq","SAMN36656377",NA,NA,"F",16,"SHS","Nuvuk",61.164,-69.639,2003,6,18,"HBSC",NA,0.033115,0.455548,0.405035,0.045211,0.061091,NA,NA,NA,NA,NA,NA,0.597919,0.106402,0.295679,NA,NA,NA,NA,NA,NA,18345,17881.2,0.08097,NA,NA,NA
"S_20_00993","ddRADseq","SAMN36656378",NA,NA,"M",8,"SHS","Nuvuk",61.164,-69.639,2003,6,23,"HBSC",NA,0.041625,0.477427,0.411367,0.026135,0.043447,NA,NA,NA,NA,NA,NA,0.601055,0.137932,0.261013,NA,NA,NA,NA,NA,NA,18537,18117.9,0.07197,NA,NA,NA
"S_20_00995","ddRADseq","SAMN36656379",NA,NA,"F",NA,"SHS","Pointe_Naujaat",61.04583333,-69.47305556,2003,6,17,"HBSC",NA,0.017364,0.55724,0.311392,0.04902,0.064985,NA,NA,NA,NA,NA,NA,0.699381,0.163704,0.136915,NA,NA,NA,NA,NA,NA,18584,18382.4,0.03374,NA,NA,NA
"S_20_00996","ddRADseq","SAMN36656380",NA,NA,"F",9,"SHS","Pointe_Naujaat",61.04583333,-69.47305556,2003,6,16,"HBSC",NA,0.051943,0.460215,0.311232,0.035169,0.141441,NA,NA,NA,NA,NA,NA,0.660559,0.113621,0.22582,NA,NA,NA,NA,NA,NA,17869,17331.2,0.09863,NA,NA,NA
"S_20_00999","ddRADseq","SAMN36656381",NA,NA,"F",26,"SHS","Pointe_Naujaat",61.01194444,-69.49888889,2003,6,17,"HBSC",NA,0.039947,0.555689,0.305139,0.02726,0.071964,NA,NA,NA,NA,NA,NA,0.54877,0.178838,0.272393,NA,NA,NA,NA,NA,NA,17101,17679.3,-0.10226,NA,NA,NA
"S_20_01000","ddRADseq","SAMN36656382",NA,NA,"F",25,"SHS","Pointe_Naujaat",61.04583333,-69.47305556,2003,6,17,"HBSC",NA,0.014602,0.554078,0.327778,0.042758,0.060784,NA,NA,NA,NA,NA,NA,0.50289,0.09155,0.40556,NA,NA,NA,NA,NA,NA,18675,18509.3,0.02765,NA,NA,NA
"S_20_01001","ddRADseq","SAMN36656383",NA,NA,"F",22,"SHS","Kangiqsujuaq",61.867,-72.183,2003,6,21,"HBSC",NA,0.016903,0.563243,0.314665,0.024212,0.080977,NA,NA,NA,NA,NA,NA,0.748149,0.087732,0.164119,NA,NA,NA,NA,NA,NA,19112,19099.7,0.00195,NA,NA,NA
"S_20_01003","ddRADseq","SAMN36656385",NA,NA,"F",53,"SHS","Tupirvikallak",61.55027778,-71.70333333,2003,6,22,"HBSC",NA,0.031326,0.527515,0.302733,0.049921,0.088505,NA,NA,NA,NA,NA,NA,0.684556,0.15021,0.165234,NA,NA,NA,NA,NA,NA,19305,19136.2,0.0268,NA,NA,NA
"S_20_01004","ddRADseq","SAMN36656386",NA,NA,"M",NA,"SHS","Baie_Kangituuq",62.37916667,-77.94027778,2003,6,8,"HBSC",NA,0.043493,0.522858,0.220395,0.088425,0.124829,NA,NA,NA,NA,NA,NA,0.440007,0.409925,0.150068,NA,NA,NA,NA,NA,NA,17933,18348,-0.06988,NA,NA,NA
"S_20_01009","ddRADseq","SAMN36656387",NA,NA,"F",24,"SHS","Nuvuk",61.164,-69.639,2003,6,18,"HBSC",NA,0.016696,0.555202,0.232759,0.058116,0.137227,NA,NA,NA,NA,NA,NA,0.779916,0.122724,0.097359,NA,NA,NA,NA,NA,NA,19200,19441.7,-0.0377,NA,NA,NA
"S_20_01010","ddRADseq","SAMN36656388",NA,NA,"F",16,"SHS","Nuvuk",61.164,-69.639,2003,6,15,"HBSC",NA,0.039176,0.588722,0.323401,0.017502,0.031199,NA,NA,NA,NA,NA,NA,0.707455,0.134176,0.158369,NA,NA,NA,NA,NA,NA,19004,18962,0.00676,NA,NA,NA
"S_20_01016","ddRADseq","SAMN36656392",NA,NA,"F",14,"SHS","Camp_Imilimmiut",60.771,-69.418,2003,6,25,"HBSC",NA,0.004456,0.602975,0.230179,0.05547,0.106921,NA,NA,NA,NA,NA,NA,0.585376,0.161987,0.252638,NA,NA,NA,NA,NA,NA,19381,19457.6,-0.01193,NA,NA,NA
"S_20_01017","ddRADseq","SAMN36656393",NA,NA,"M",NA,"SHS","Camp_Imilimmiut",60.771,-69.418,2003,6,25,"HBSC",NA,0.042954,0.567415,0.356928,0.012674,0.02003,NA,NA,NA,NA,NA,NA,0.626059,0.164811,0.20913,NA,NA,NA,NA,NA,NA,19035,18720.8,0.05135,NA,NA,NA
"S_20_01020","ddRADseq","SAMN36656396",NA,NA,NA,25,"SHS","Camp_Imilimmiut",60.771,-69.418,2003,NA,NA,"HBSC",NA,0.011213,0.581696,0.265352,0.027054,0.114685,NA,NA,NA,NA,NA,NA,0.625361,0.148485,0.226154,NA,NA,NA,NA,NA,NA,19232,19353.8,-0.01911,NA,NA,NA
"S_20_01023","ddRADseq","SAMN36656399",NA,NA,"F",16,"SHS","Quaqtaq",61.04638889,-69.63388889,2003,7,29,"HBSC",NA,0.059097,0.434878,0.385759,0.020467,0.099799,NA,NA,NA,NA,NA,NA,0.737895,0.155046,0.107059,NA,NA,NA,NA,NA,NA,18522,18501.2,0.00347,NA,NA,NA
"S_20_01025","ddRADseq","SAMN36656400",NA,NA,"M",NA,"SHS","Quaqtaq",61.04638889,-69.63388889,2003,NA,NA,"HBSC",NA,0.02366,0.503717,0.294283,0.063744,0.114596,NA,NA,NA,NA,NA,NA,0.723777,0.041516,0.234708,NA,NA,NA,NA,NA,NA,18871,18871.4,-0.00006,NA,NA,NA
