"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00644",0.784667,0.215333,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_016","NHB","Coral_Harbour",1993,7,26,"Coral Harbour","HL003"
"S_20_00645",0.806397,0.193603,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_018","NHB","Coral_Harbour",1993,7,26,"Coral Harbour","HL009"
"S_20_00646_rep",0.788387,0.211613,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3100","UNG","Anse_Inussujuaq_Misaqvik",2001,7,20,"Kangirsuk","HL014"
"S_20_00647_rep",0.782767,0.217233,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3095","UNG","Anse_Inussujuaq_Misaqvik",2001,7,19,"Kangirsuk","HL003"
"S_20_00649",0.83806,0.16194,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3245","UNG","Aupaluk",2001,7,5,"Aupaluk","HL014"
"S_20_00650",0.797552,0.202448,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3251","UNG","Aupaluk",2001,7,5,"Aupaluk","HL001"
"S_20_00652",0.825557,0.174443,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17906","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,23,"DFO_MPO","HL003"
"S_20_00653",0.782813,0.217187,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17911","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27,"DFO_MPO","HL016"
"S_20_00654",0.794958,0.205042,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1019","NWH","Arviat_west of McConnel River",1999,8,11,"Arviat","HL001"
"S_20_00656",0.824495,0.175505,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1014","NWH","Arviat",1999,8,11,"Arviat","HL017"
"S_20_00657",0.777714,0.222286,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1009","NWH","Arviat_Sentry Island",1999,8,12,"Arviat","HL018"
"S_20_00658",0.825622,0.174378,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1036","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL019"
"S_20_00660",0.702254,0.297746,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1220","CSB","Pangnirtung",2005,8,3,"Pangnirtung","HL003"
"S_20_00661",0.753315,0.246685,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1054","CSB","Pangnirtung_Imigen",2002,7,6,"Pangnirtung","HL003"
"S_20_00662",0.782525,0.217475,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1072","CSB","Pangnirtung",2002,7,25,"Pangnirtung","HL021"
"S_20_00664",0.780281,0.219719,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1232","CSB","Pangnirtung_Bon_Accord",2005,8,4,"Pangnirtung","HL003"
"S_20_00665",0.783196,0.216804,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_06_1281","CSB","Pangnirtung_Imilit",2006,6,30,"Pangnirtung","HL003"
"S_20_00666",0.808627,0.191373,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_06_1280","CSB","Pangnirtung_Emelet",2006,7,1,"Pangnirtung","HL023"
"S_20_00667",0.777063,0.222937,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1040","CSB","Pangnirtung_Nuvuatiakalak",2002,7,21,"Pangnirtung","HL022"
"S_20_00668",0.673061,0.326939,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1255","CSB","Pangnirtung",2005,8,3,"Pangnirtung","HL024"
"S_20_00670",0.781113,0.218887,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1039","CSB","Pangnirtung",2002,7,10,"Pangnirtung","HL022"
"S_20_00676",0.750108,0.249892,NA,NA,NA,NA,NA,NA,NA,NA,2,"PTT_7279","NWH","Churchill",1992,7,5,"Churchill","HL001"
"S_20_00678",0.731621,0.268379,NA,NA,NA,NA,NA,NA,NA,NA,2,"PTT_7278","NWH","Churchill",1992,7,4,"Churchill","HL026"
"S_20_00681",0.827243,0.172757,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1037","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL004"
"S_20_00683",0.797598,0.202402,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1024","NWH","Arviat_Sentry Island",1999,8,11,"Arviat","HL015"
"S_20_00684",0.841574,0.158426,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARHU97_019","NWH","Chesterfield_Inlet_Baker Foreland",1997,8,17,"Chesterfield Inlet","HL003"
"S_20_00685",0.748278,0.251722,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARCI_99_1023","NWH","Chesterfield_Inlet_Josephine_River",1999,8,22,"Chesterfield Inlet","HL004"
"S_20_00686",0.803969,0.196031,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARCI_99_1024","NWH","Chesterfield_Inlet_Josephine_River",1999,8,22,"Chesterfield Inlet","HL004"
"S_20_00687",0.796221,0.203779,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1038","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL003"
"S_20_00690",0.686121,0.313879,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1241","CSB","Pangnirtung",2005,7,9,"Pangnirtung","HL003"
"S_20_00692",0.778234,0.221766,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1225","CSB","Pangnirtung_Tarriunittuq_Bay",2005,8,3,"Pangnirtung","HL003"
"S_20_00695",0.786216,0.213784,NA,NA,NA,NA,NA,NA,NA,NA,2,"PGDL_02_03","CSB","Pangnirtung_West_Cumberland_Sound",2002,7,NA,"Pangnirtung","HL024"
"S_20_00697",0.730752,0.269248,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_07_1314","CSB","Pangnirtung",2007,7,4,"Pangnirtung","HL028"
"S_20_00699",0.79633,0.20367,NA,NA,NA,NA,NA,NA,NA,NA,2,"JBDL_07_06","JAM","Pointe_de_Repentigny",2007,8,25,"DFO_MPO","HL008"
"S_20_00701",0.806958,0.193042,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1211","CSB","Pangnirtung",2005,7,12,"Pangnirtung","HL029"
"S_20_00702",0.639505,0.360495,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1034","CSB","Pangnirtung",2002,7,22,"Pangnirtung","HL030"
"S_20_00703",0.732206,0.267794,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_06_1265","CSB","Pangnirtung",2006,7,1,"Pangnirtung","HL003"
"S_20_00709",0.727014,0.272986,NA,NA,NA,NA,NA,NA,NA,NA,2,"PGDL_02_02","CSB","Pangnirtung_West_Cumberland_Sound",2002,7,NA,"Pangnirtung","HL024"
"S_20_00710",0.821024,0.178976,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2008_JB_06","JAM","Pointe_de_Repentigny_James_Bay",2008,8,10,"DFO_MPO","HL008"
"S_20_00711",0.83499,0.16501,NA,NA,NA,NA,NA,NA,NA,NA,2,"JBDL_07_02","JAM","Pointe_de_Repentigny",2007,8,9,"DFO_MPO","HL008"
"S_20_00712",0.822034,0.177966,NA,NA,NA,NA,NA,NA,NA,NA,2,"JBDL_07_04","JAM","Pointe_de_Repentigny",2007,8,14,"DFO_MPO","HL008"
"S_20_00713",0.709897,0.290103,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1036","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL032"
"S_20_00717",0.767493,0.232507,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1073","BEL","Sanikiluaq",2004,6,19,"Sanikiluaq","HL035"
"S_20_00718",0.795312,0.204688,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1018","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL036"
