"ID_GQ","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo","K","Q1","Q2","Q3","Q4","Q5","Membership.neutral"
"S_20_00646_rep","NQDL_3100","UNG","Anse_Inussujuaq_Misaqvik",2001,7,20,"Kangirsuk","HL014",5,0.062607,0.504256,0.283647,0.022842,0.126648,"HBSC"
"S_20_00647_rep","NQDL_3095","UNG","Anse_Inussujuaq_Misaqvik",2001,7,19,"Kangirsuk","HL003",5,0.071135,0.543838,0.31672,0.032094,0.036214,"HBSC"
"S_20_00649","NQDL_3245","UNG","Aupaluk",2001,7,5,"Aupaluk","HL014",5,0.013748,0.578704,0.240444,0.045723,0.121381,"HBSC"
"S_20_00650","NQDL_3251","UNG","Aupaluk",2001,7,5,"Aupaluk","HL001",5,0.05599,0.508279,0.241128,0.147854,0.046748,"HBSC"
"S_20_00652","DL2003_S_17906","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,23,"DFO_MPO","HL003",5,0.020085,0.525111,0.31517,0.104499,0.035135,"HBSC"
"S_20_00653","DL2003_S_17911","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27,"DFO_MPO","HL016",5,0.073346,0.526545,0.243047,0.040962,0.116101,"HBSC"
"S_20_00654","ARAR_99_1019","NWH","Arviat_west of McConnel River",1999,8,11,"Arviat","HL001",5,0.057323,0.459423,0.209138,0.194397,0.07972,"HBSC"
"S_20_00656","ARAR_99_1014","NWH","Arviat",1999,8,11,"Arviat","HL017",5,0.035879,0.605763,0.213379,0.107716,0.037262,"HBSC"
"S_20_00657","ARAR_99_1009","NWH","Arviat_Sentry Island",1999,8,12,"Arviat","HL018",5,1e-05,1e-05,0.918981,1e-05,0.080989,"CSB"
"S_20_00658","ARAR_99_1036","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL019",5,0.025489,0.580807,0.286559,0.107136,1e-05,"HBSC"
"S_20_00660","ARPG_05_1220","CSB","Pangnirtung",2005,8,3,"Pangnirtung","HL003",5,0.156848,0.450288,0.325249,0.038329,0.029285,"HBSC"
"S_20_00661","ARPG_02_1054","CSB","Pangnirtung_Imigen",2002,7,6,"Pangnirtung","HL003",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00662","ARPG_02_1072","CSB","Pangnirtung",2002,7,25,"Pangnirtung","HL021",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
