"Population1","Population2","Fst"
"CSB","HBSC",0.0119730864373873
"CSB","JAM",0.0346438402670919
"CSB","LGR",0.021104731703437
"CSB","SLE",0.0752816439937845
"HBSC","CSB",0.0119730864373873
"HBSC","JAM",0.0230373899565865
"HBSC","LGR",0.0122392873334533
"HBSC","SLE",0.0537474755610373
"JAM","CSB",0.0346438402670919
"JAM","HBSC",0.0230373899565865
"JAM","LGR",0.0339334767367066
"JAM","SLE",0.082656657532094
"LGR","CSB",0.021104731703437
"LGR","HBSC",0.0122392873334533
"LGR","JAM",0.0339334767367066
"LGR","SLE",0.068485271075995
"SLE","CSB",0.0752816439937845
"SLE","HBSC",0.0537474755610373
"SLE","JAM",0.082656657532094
"SLE","LGR",0.068485271075995
