SampleID,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Region,Harvest Region,Season
S_20_01152,80.SEH.2019.BELUGA.ADN_20_04598.S_20_01152.dl.n_s.bam,-0.0117182,-0.0202708,0.016556,0.0120397,-0.0178246,0.0154718,0.0047209,0.044724,0.00850429,-0.0701424,0.0104286,-0.0331912,0.00959967,0.0262249,0.0217344,0.00228531,0.0361896,-0.00865776,-0.0202874,-0.00176095,South-East Hudson Bay,SEH,Fall
S_20_01174,82.SEH.2020.BELUGA.ADN_20_04577.S_20_01174.dl.n_s.bam,-0.0130232,-0.017817,0.0455094,-0.0166752,0.0142522,-0.0628781,-0.000606778,-0.0119105,-0.0575499,-0.0218466,-0.0534236,0.0137191,0.0249381,-0.0100903,-0.0110837,-0.00995805,-0.0685632,0.0146377,-0.0125544,-0.0297972,South-East Hudson Bay,SEH,Fall
S_20_01175,79.SEH.2019.BELUGA.ADN_20_04594.S_20_01175.dl.n_s.bam,-0.0325765,0.16013,-0.00357472,-0.00676777,0.00983164,-0.0514252,0.00783049,0.50157,-0.15648,0.366058,-0.0888263,-0.116055,0.0765393,0.00314699,-0.000826873,-0.0171533,0.0253878,-0.055647,-0.0109026,0.0321233,South-East Hudson Bay,SEH,Fall
S_20_01727,78.SEH.2019.BELUGA.ADN_20_04583.S_20_01727.dl.n_s.bam,-0.0304887,0.0396636,0.0021698,0.00705615,0.000307861,-0.00708156,0.0137519,0.0248852,0.00573153,-0.0920431,-0.0190751,0.0105252,-0.0503701,-0.0347378,0.0850943,-0.0185531,0.0455868,-0.111302,-0.0482857,0.0164245,South-East Hudson Bay,SEH,Fall
S_20_01734,86.SEH.2020.BELUGA.ADN_20_04592.S_20_01734.dl.n_s.bam,-0.0131586,-0.0255328,0.085458,-0.0580032,0.0766263,-0.504598,-0.0678997,0.0036727,0.346296,0.0999024,0.0879456,-0.0193475,-0.035949,0.011274,-0.00634053,0.0192696,0.0380337,-0.035502,0.017308,0.0167167,South-East Hudson Bay,SEH,Fall
S_20_01736,81.SEH.2019.BELUGA.ADN_20_04582.S_20_01736.dl.n_s.bam,-0.0352109,0.186973,-0.00666593,-0.00484534,0.0078017,-0.0593878,0.0106009,0.518465,-0.158592,0.342149,-0.0772251,-0.111835,0.0698848,0.00474693,-0.00647373,-0.0077654,0.0261214,-0.049742,-0.00563345,0.0249074,South-East Hudson Bay,SEH,Fall
S_20_01744,84.SEH.2020.BELUGA.ADN_20_04578.S_20_01744.dl.n_s.bam,-0.0138425,-0.0167165,0.0375702,-0.00997001,0.0166913,-0.0570879,-0.00306952,0.00380316,-0.08457,-0.047222,-0.0269875,0.0110478,0.021307,-0.00486432,0.00234055,-0.0181651,-0.044552,0.0303579,-0.0115526,-0.0356471,South-East Hudson Bay,SEH,Fall
S_20_02890,85.SEH.2020.BELUGA.ADN_20_03840.S_20_02890.dl.n_s.bam,-0.0317232,0.15141,-0.00377668,0.0066353,9.02E-05,-0.00924852,0.0069213,0.00128295,0.00346282,-0.0650348,0.0287704,0.00854063,-0.0136119,-0.0134464,-0.0073681,-0.0111639,-0.0145984,0.0312771,0.00702159,0.0179814,South-East Hudson Bay,SEH,Fall
S_20_01865,75.SEH.1990.BELUGA.ADN_20_01754.S_20_01865.dl.n_s.bam,-0.0107963,-0.0197419,-0.0520118,0.166519,0.0773273,-0.0225941,-0.0133923,0.0355971,-0.00226627,-0.029987,0.0358777,0.0120147,0.0350393,-0.0255191,-0.019281,0.00287276,-0.0285147,0.0282335,-0.0749697,0.0649751,South-East Hudson Bay,SEH,Unknown
S_20_02863,93.SEH.2015.BELUGA.ADN_20_03812.S_20_02863.dl.n_s.bam,-0.0121981,-0.0239146,-0.0551232,0.240609,0.0997643,-0.00373924,-0.0469325,-0.0112302,-0.0190725,0.026918,0.0190414,-0.00247679,0.0148358,0.00714434,-0.0242383,0.00997884,0.122716,-0.0334301,0.194461,-0.250475,South-East Hudson Bay,SEH,Unknown
S_20_02865,77.SEH.2015.BELUGA.ADN_20_03814.S_20_02865.dl.n_s.bam,-0.0125783,-0.0243964,-0.0571145,0.26188,0.109178,0.000916311,-0.0562413,-0.00880722,-0.00987796,0.0276016,0.0305415,-0.00491659,0.0186692,0.0189236,-0.00866207,0.00174783,0.170572,-0.0514935,0.277348,-0.333142,South-East Hudson Bay,SEH,Unknown
S_20_02866,76.SEH.2015.BELUGA.ADN_20_03815.S_20_02866.dl.n_s.bam,-0.0108446,-0.0236262,-0.0592198,0.278006,0.118272,-0.00692817,-0.0527683,-0.00193563,-0.00816498,0.0130254,0.0324806,-0.00377983,0.0329082,0.0074554,-0.0143116,-0.00106008,0.164702,-0.0515351,0.277753,-0.347011,South-East Hudson Bay,SEH,Unknown
